,Make,count
0,cessna,7561
1,piper,4275
2,beechcraft,1635
3,robinson,760
4,bell,695
5,mooney,469
6,grumman,365
7,cirrus,315
8,boeing,284
9,bellanca,263
10,schweizer,247
11,hughes,238
12,maule,233
13,air tractor,231
14,aeronca,204
15,air tractor inc,175
16,luscombe,154
17,champion,152
18,stinson,142
19,north american,140
20,eurocopter,136
21,diamond,124
22,taylorcraft,111
23,aero commander,109
24,de havilland,100
25,aviat,92
26,mcdonnell douglas,83
27,airbus,82
28,dehavilland,80
29,aerospatiale,79
30,raytheon,79
31,schleicher,75
32,enstrom,74
33,aviat aircraft inc,66
34,socata,64
35,ayres,58
36,rockwell international,56
37,sikorsky,56
38,ercoupe,55
39,hiller,53
40,embraer,52
41,rockwell,48
42,waco,48
43,flight design gmbh,44
44,schempp-hirth,43
45,let,41
46,american champion aircraft,41
47,ayres corporation,36
48,eurocopter france,36
49,mitsubishi,33
50,wsk pzl mielec,32
51,learjet,32
52,helio,31
53,swearingen,30
54,douglas,30
55,burkhart grob,29
56,agusta,28
57,globe,28
58,pilatus,28
59,ercoupe (eng & research corp.),28
60,yakovlev,28
61,evektor-aerotechnik as,27
62,ryan,27
63,fairchild,27
64,navion,25
65,costruzioni aeronautiche tecna,25
66,mcdonnell douglas helicopter,25
67,bombardier,25
68,weatherly,24
69,quicksilver,24
70,flight design,23
71,bombardier inc,23
72,american champion (acac),22
73,lake,20
74,aero vodochody,20
75,smith,20
76,great lakes,19
77,schweizer aircraft corp,19
78,md helicopter,19
79,canadair,18
80,eurocopter deutschland gmbh,17
81,american,17
82,rans,16
83,brantly,16
84,bell helicopter textron,16
85,cub crafters inc,16
86,lockheed,16
87,buckeye,15
88,engineering & research,15
89,cub crafters,15
90,consolidated aeronautics inc.,15
91,czech aircraft works spol sro,15
92,alon,15
93,american aviation,14
94,american legend aircraft co,14
95,mbb,14
96,aerostar,14
97,airborne,14
98,burkhart grob flugzeugbau,14
99,siai-marchetti,14
100,boeing stearman,14
101,cubcrafters inc,14
102,silvaire,14
103,aerotek,13
104,airborne windsports pty ltd,13
105,stearman,13
106,remos aircraft gmbh,13
107,columbia aircraft mfg,13
108,gates learjet,12
109,"bombardier, inc.",12
110,pipistrel,12
111,air creation,12
112,temco,12
113,christen industries,12
114,britten-norman,12
115,cameron balloons,11
116,lancair,11
117,aeropro cz,11
118,bell helicopter textron canada,11
119,thrush aircraft inc,11
120,christen industries inc,11
121,curtiss wright,11
122,gulfstream aerospace,11
123,brantly helicopter,11
124,aircraft mfg & dev. co. (amd),11
125,republic,10
126,israel aircraft industries,10
127,texas helicopter corp,10
128,american champion,10
129,nanchang,9
130,curtiss-wright,9
131,tecnam,9
132,lancair company,9
133,extra flugzeugbau,9
134,fleet,9
135,gulfstream-schweizer,9
136,czech sport aircraft as,9
137,mcdonnell douglas heli co,9
138,eurocopter deutschland,9
139,gulfstream-schweizer a/c corp,9
140,aviat inc,9
141,rolladen-schneider,8
142,md helicopter inc,8
143,american aviation corp. (aac),8
144,hawker,8
145,ryan aeronautical,8
146,pitts,8
147,"smith, ted aerostar",8
148,glasflugel,8
149,kaman,8
150,cameron balloons us,8
151,fokker,8
152,weatherly aviation co inc,8
153,grob,8
154,czech aircraft works,8
155,ultramagic,7
156,pzl-swidnik,7
157,scottish aviation,7
158,piaggio,7
159,powrachute,7
160,classic aircraft corp,7
161,jabiru usa sport aircraft llc,7
162,sukhoi,7
163,balloon works,7
164,garlick helicopters inc,7
165,dassault aviation,7
166,british aerospace,7
167,hawker siddeley,7
168,lindstrand balloons,7
169,convair,7
170,north wing,7
171,schempp hirth,7
172,extra flugzeugbau gmbh,7
173,nanchang china,7
174,infinity,7
175,interstate,7
176,saab-scania ab (saab),6
177,gulfstream american corp,6
178,aerostar international inc,6
179,learjet inc,6
180,tl ultralight sro,6
181,fairchild hiller,6
182,evolution aircraft inc,6
183,american legend,6
184,arrow falcon exporters inc,6
185,garlick,6
186,gulfstream,6
187,american eurocopter corp,6
188,trick trikes,6
189,gulfstream american,6
190,universal stinson,6
191,continental copters inc.,6
192,ab sportine aviacija,6
193,culver,6
194,vans aircraft inc,6
195,waco classic aircraft,6
196,cubcrafters,6
197,cosmos,6
198,arion aircraft llc,6
199,evolution trikes,6
200,pdps pzl-bielsko,6
201,dassault-breguet,6
202,american general aircraft,6
203,liberty aerospace incorporated,6
204,fantasy air sro,5
205,eagle,5
206,extra flugzeugproduktions-und,5
207,aerostar international,5
208,gates learjet corp.,5
209,pilatus aircraft ltd,5
210,meyers,5
211,iniziative industriali italian,5
212,aero vodochody aero. works,5
213,remos acft gmbh flugzeugbau,5
214,kubicek,5
215,air tractor inc.,5
216,agusta spa,5
217,aerotrike,5
218,eiriavion oy,5
219,stemme gmbh & co,5
220,jabiru,5
221,destiny,5
222,extra,5
223,mcdonnell douglas aircraft co,4
224,morrisey,4
225,general atomics,4
226,short bros. & harland,4
227,quest,4
228,aircraft mfg & development co,4
229,classic aircraft corp.,4
230,commander,4
231,howard aircraft,4
232,american eurocopter,4
233,ams flight,4
234,jihlavan,4
235,textron aviation inc,4
236,messerschmitt-bolkow-blohm,4
237,rotorway,4
238,head balloons inc,4
239,goodyear,4
240,vans,4
241,pzl,4
242,american eurocopter llc,4
243,pipistrel doo ajdovscina,4
244,alexander schleicher gmbh & co,4
245,liberty aerospace inc.,4
246,north wing uum inc,4
247,aeros ltd,4
248,guimbal,4
249,downer,4
250,monocoupe,4
251,ultramagic sa,4
252,airframes unlimited,4
253,buckeye industries,4
254,fairchild swearingen,4
255,quest aircraft company llc,4
256,cameron,4
257,progressive aerodyne inc,4
258,p&m aviation ltd,4
259,north american/aero classics,4
260,glaser-dirks,4
261,snow,4
262,nord,4
263,dornier,4
