,Plane
0,cessna 172n
0,piper pa-28-140
0,piper pa-18-150
0,cessna 172p
0,piper pa-28-180
0,piper pa-28-161
0,cessna 170b
0,robinson r44 ii
0,piper pa-28-181
0,mooney m20j
0,cessna 182p
0,cessna a185f
0,cessna 182q
0,aeronca 7ac
0,piper pa-24-250
0,piper pa-28r-200
0,cessna 172k
0,grumman g-164a
0,piper pa-32-300
0,mooney m20c
0,piper pa-31-350
0,cessna 182a
0,piper pa-22-150
0,piper j3c-65
0,bellanca 7gcbc
0,cessna 150f
0,piper pa18
0,grumman g-164b
0,mooney m20k
0,hughes 369d
0,piper pa 18-150
0,cessna r182
0,beechcraft c23
0,cessna t210m
0,cessna 150g
0,beechcraft v35b
0,piper pa-28-235
0,piper pa-25-235
0,cessna t210l
0,piper pa-32-260
0,cessna a185
0,cessna 172h
0,cessna 172l
0,cessna tr182
0,piper pa-28-151
0,cessna 150j
0,piper pa-34-200t
0,mooney m20e
0,taylorcraft bc12-d
0,champion 7eca
0,piper pa-46-350p
0,cessna 150h
0,cessna 182s
0,cessna 421c
0,beechcraft f33a
0,cessna 172f
0,cessna 177b
0,piper pa28r
0,mooney m20f
0,piper pa-28r-180
0,schweizer 269c-1
0,de havilland dhc-2
0,cessna 182r
0,piper pa-22-160
0,bellanca 17-30a
0,cessna 310r
0,piper pa-46-310p
0,hughes 269c
0,piper j3c
0,beechcraft 95-b55
0,cessna t182t
0,piper pa46
0,cessna 180h
0,cessna 210l
0,mooney m20r
0,beechcraft a36tc
0,aviat a-1b
0,bellanca 8gcbc
0,piper pa32
0,beechcraft v35
0,piper pa-32r-301t
0,cessna u206f
0,piper pa 28-180
0,piper pa 28-140
0,piper pa22
0,piper pa-24-260
0,piper pa24
0,cessna 172e
0,hughes 269a
0,piper pa-18-135
0,cessna r172k
0,air tractor at-502b
0,bell 206l-3
0,cessna 182j
0,diamond da 20-c1
0,beechcraft 76
0,cessna 182g
0,cessna 305a
0,cessna 421b
0,beechcraft s35
0,mooney m20m
0,aeronca 11ac
0,piper pa-32r-301
0,cessna 182c
0,cessna 180j
0,hiller uh-12e
0,boeing a75n1(pt17)
0,piper pa32r
0,piper pa 28-181
0,eurocopter as 350 b2
0,cessna a185e
0,beechcraft b36tc
0,beechcraft g35
0,cessna 182d
0,piper pa 46-350p
0,robinson r22 beta ii
0,beechcraft c24r
0,air tractor inc at-301
0,cessna 180a
0,cessna 182h
0,cessna 182k
0,cessna 172b
0,piper pa-34-220t
0,grumman g-164
0,cessna 182f
0,piper pa-22-108
0,cessna 172g
0,cessna 207a
0,beechcraft a23
0,cessna 185f
0,flight design gmbh ctsw
0,beechcraft 58p
0,cessna 182b
0,cessna 182l
0,cessna 180k
0,piper pa-34-200
0,piper pa-22-135
0,air tractor inc at-502b
0,cessna 182m
0,beechcraft c90
0,piper pa-32rt-300
0,boeing b75n1
0,robinson r-22 beta
0,piper pa-32-301
0,raytheon a36
0,air tractor inc at 502b
0,beechcraft 23
0,wsk pzl mielec m-18a
0,cessna 172d
0,piper pa-46-500tp
0,grumman g164
0,cessna 182e
0,beechcraft c35
0,cessna 172c
0,bell oh-58a
0,globe gc-1b
0,rockwell international s-2r
0,evektor-aerotechnik as sportstar
0,aero commander s2r
0,flight design gmbh ctls
0,piper pa 28-161
0,air tractor at502
0,aviat aircraft inc a-1b
0,cessna tu206g
0,piper pa-28-236
0,piper j5a
0,piper pa-23-160
0,piper pa 24-250
0,beechcraft h35
0,cessna 172a
0,enstrom f-28c
0,piper pa-24-180
0,cessna 150k
0,beechcraft b19
0,cessna t310r
0,mcdonnell douglas helicopter 369e
0,eurocopter as 350 b3
0,bell 47g-3b-1
0,maule m-5-235c
0,cessna 150d
0,hughes 269b
0,piper pa-28r-201
0,boeing a75n1
0,schweizer g-164b
0,cessna 414a
0,champion 7gcbc
0,maule mx7
0,piper pa-32rt-300t
0,piper pa-28r-201t
0,beechcraft 35-b33
0,beechcraft p35
0,piper pa 28r-200
0,aviat a1
0,piper pa-18-160
0,beechcraft k35
0,ayres s2r-t34
0,mooney m20tn
0,cessna 172sp
0,robinson r-22b
0,american champion aircraft 7gcbc
0,ercoupe (eng & research corp.) 415-c
0,maule m-5-210c
0,let blanik l-13
0,czech aircraft works spol sro sportcruiser
0,maule m-4-220c
0,bell 47g-2
0,champion 7gcaa
0,air tractor inc at-602
0,air tractor at-802a
0,piper pa-28-160
0,grumman aa-1b
0,piper pa-28rt-201
0,air tractor inc at 502
0,cessna 210a
0,cessna 210m
