,Date,Latitude,Longitude,Incident ID,Temperature,Max Temperature,Wind Speed,Visibility,Precipitation,Humidity,Conditions,Cloudcover
0,2019-12-31T00:00:00-08:00,39.128611,-123.715833,0.0,48.8,58.2,5.2,7.6,0.0,71.77,Clear,14.1
0,2019-12-31T00:00:00-06:00,38.846111,-94.736111,1.0,33.7,42.2,13.9,9.9,0.0,59.91,Clear,0.0
0,2019-12-31T00:00:00-09:00,64.666945,-148.13333400000005,2.0,-3.0,-0.3,4.5,9.3,0.0,76.68,Partially cloudy,74.6
0,2019-12-28T00:00:00-06:00,30.176111,-92.0075,3.0,68.9,76.0,12.8,5.5,0.09,92.13,"Rain, Overcast",89.9
0,2019-12-25T00:00:00-06:00,31.364167,-85.3125,4.0,60.2,72.0,10.3,9.9,0.0,66.3,Clear,0.0
0,2019-12-22T00:00:00-08:00,34.44,-114.345555,5.0,50.1,57.1,6.9,9.9,0.0,56.27,Clear,1.1
0,2019-12-21T00:00:00-06:00,38.095833,-87.540555,6.0,38.2,51.2,6.9,9.5,0.0,72.06,Clear,0.0
0,2019-12-19T00:00:00-06:00,28.3675,-97.796389,7.0,50.6,65.0,13.9,9.9,0.0,54.44,Partially cloudy,35.9
0,2019-12-18T00:00:00-07:00,43.643889,-116.636944,8.0,28.7,35.9,12.8,9.9,0.0,68.48,Partially cloudy,29.9
0,2019-12-18T00:00:00-05:00,39.259167,-84.774445,9.0,25.3,30.1,12.8,9.9,0.0,71.56,Partially cloudy,50.6
0,2019-12-17T00:00:00-08:00,36.325,-119.39888899999998,10.0,43.8,56.9,5.8,9.9,0.0,77.59,Clear,0.0
0,2019-12-14T00:00:00-07:00,32.316945000000004,-106.774723,11.0,54.7,66.9,27.1,9.9,0.0,47.95,Clear,0.0
0,2019-12-12T00:00:00-08:00,33.146389,-117.333611,12.0,57.5,64.1,6.9,5.6,0.0,80.91,Clear,0.0
0,2019-12-11T00:00:00-07:00,33.683611,-112.110278,13.0,55.9,65.9,9.2,9.8,0.0,56.99,Clear,0.0
0,2019-12-09T00:00:00-06:00,28.8525,-96.918611,14.0,73.0,83.0,19.7,6.3,0.0,80.44,Partially cloudy,65.9
0,2019-12-08T00:00:00-07:00,34.479445,-111.989166,15.0,46.9,50.6,11.6,8.4,0.3,89.94,"Rain, Partially cloudy",57.7
0,2019-12-04T00:00:00-06:00,38.836111,-95.181945,16.0,40.9,57.8,10.3,9.9,0.0,67.21,Clear,0.0
0,2019-12-03T00:00:00-07:00,39.878611,-111.857222,17.0,34.5,43.1,6.9,6.1,0.0,82.66,Partially cloudy,43.0
0,2019-12-03T00:00:00-06:00,34.646111,-89.305278,18.0,36.4,50.0,8.1,9.9,0.0,80.19,Clear,0.0
0,2019-12-03T00:00:00-05:00,42.409444,-83.010278,19.0,32.3,35.1,16.1,9.4,0.0,85.18,Overcast,89.2
0,2019-12-02T00:00:00-05:00,27.645833000000003,-80.427778,20.0,65.9,73.1,21.9,9.4,0.0,69.6,Partially cloudy,30.5
0,2019-12-01T00:00:00-06:00,36.38,-88.99,21.0,45.4,55.5,23.0,9.9,0.0,61.57,Partially cloudy,49.1
0,2019-12-01T00:00:00-06:00,29.550833,-98.499722,22.0,55.1,65.9,15.0,9.9,0.0,35.85,Clear,10.9
0,2019-11-30T00:00:00-05:00,32.766667,-82.81,23.0,56.6,77.0,8.1,9.5,0.0,76.22,Clear,16.7
0,2019-11-30T00:00:00-06:00,43.765556,-99.337222,24.0,31.8,33.5,31.1,1.6,0.39,98.26,"Rain, Partially cloudy",41.2
0,2019-11-29T00:00:00-09:00,60.504167,-150.151389,25.0,38.9,43.0,8.1,9.9,0.0,85.73,Partially cloudy,31.5
0,2019-11-26T00:00:00-08:00,36.4,-115.180834,26.0,45.6,48.8,21.9,9.9,0.0,29.42,Clear,0.0
0,2019-11-25T00:00:00-08:00,33.685277,-115.267223,27.0,57.7,74.9,28.9,9.7,0.0,47.38,Clear,9.0
0,2019-11-23T00:00:00-05:00,41.916111,-72.776945,28.0,39.8,47.0,18.3,9.9,0.0,49.08,Partially cloudy,49.2
0,2019-11-23T00:00:00-07:00,38.069723,-102.688611,29.0,34.9,53.9,17.2,9.9,0.0,69.42,Clear,0.0
0,2019-11-23T00:00:00-05:00,27.260556,-80.8475,30.0,65.9,78.8,8.1,9.8,0.0,78.84,Clear,23.8
0,2019-11-23T00:00:00-06:00,45.440277,-93.970556,31.0,33.5,44.1,12.8,9.9,0.0,71.39,Clear,4.9
0,2019-11-22T00:00:00-08:00,41.967778,-114.646111,32.0,34.7,47.0,11.4,9.9,0.0,64.87,Clear,17.8
0,2019-11-22T00:00:00-06:00,32.489722,-95.481945,33.0,54.2,70.1,15.0,9.3,0.0,83.12,Overcast,96.4
0,2019-11-20T00:00:00-06:00,29.9,-97.8525,34.0,70.5,83.9,25.3,7.3,0.12,79.57,"Rain, Partially cloudy",67.4
0,2019-11-19T00:00:00-05:00,39.852222,-76.486389,35.0,42.4,52.1,3.8,6.8,0.0,73.92,Partially cloudy,55.2
0,2019-11-18T00:00:00-05:00,38.980556,-76.922223,36.0,41.4,47.9,5.8,9.2,0.0,73.8,Partially cloudy,61.5
0,2019-11-17T00:00:00-07:00,41.184444,-112.015,37.0,41.1,53.0,10.3,9.9,0.0,53.25,Clear,0.0
0,2019-11-17T00:00:00-05:00,41.178334,-78.898611,38.0,30.3,39.8,13.9,9.9,0.0,55.55,Clear,11.1
0,2019-11-17T00:00:00-05:00,39.935555,-83.236389,39.0,34.7,46.3,6.9,9.9,0.0,76.06,Clear,0.0
0,2019-11-17T00:00:00-05:00,27.067223,-82.44027700000002,40.0,56.7,60.5,11.4,8.2,0.0,87.54,Overcast,79.1
0,2019-11-16T00:00:00-08:00,37.696111,-121.819723,41.0,56.7,75.8,11.4,6.2,0.0,71.04,Partially cloudy,26.3
0,2019-11-16T00:00:00-07:00,40.478889,-111.433889,42.0,36.4,55.5,12.8,9.9,0.0,59.28,Clear,0.9
0,2019-11-16T00:00:00-06:00,33.714167,-96.674445,43.0,46.9,62.5,11.4,9.9,0.0,56.7,Clear,0.0
0,2019-11-16T00:00:00-05:00,44.521111,-68.641111,44.0,22.7,29.0,15.0,9.9,0.0,50.62,Clear,2.1
0,2019-11-13T00:00:00-07:00,32.476111,-111.337777,45.0,62.7,76.0,16.1,9.9,0.0,31.72,Clear,0.0
0,2019-11-12T00:00:00-07:00,40.170556,-111.645,46.0,36.7,51.2,6.9,9.9,0.0,65.86,Clear,19.9
0,2019-11-12T00:00:00-08:00,33.354167,-117.250833,47.0,59.7,76.9,5.8,4.8,0.0,83.56,Partially cloudy,34.4
0,2019-11-11T00:00:00-05:00,31.683889,-83.270834,48.0,56.4,74.4,7.9,9.0,0.0,82.06,Clear,4.2
0,2019-11-11T00:00:00-07:00,37.065,-105.463611,49.0,29.7,55.1,12.8,9.9,0.0,52.69,Clear,1.1
0,2019-11-11T00:00:00-08:00,41.240277,-120.526111,50.0,43.2,64.1,8.1,9.8,0.0,68.61,Clear,0.0
0,2019-11-10T00:00:00-06:00,39.037777,-91.725556,51.0,51.7,64.8,14.1,9.8,0.0,68.08,Clear,3.3
0,2019-11-10T00:00:00-05:00,40.036111,-86.482223,52.0,45.4,56.9,9.2,9.9,0.0,80.65,Partially cloudy,46.8
0,2019-11-10T00:00:00-05:00,29.941389,-81.317778,53.0,58.4,68.0,12.8,9.9,0.0,76.9,Clear,3.2
0,2019-11-10T00:00:00-09:00,59.112222,-161.581389,54.0,47.9,48.8,37.6,9.8,0.17,84.2,"Rain, Overcast",77.8
0,2019-11-09T00:00:00-07:00,39.908889,-105.117223,55.0,54.9,79.6,5.8,10.8,0.0,30.92,Clear,2.1
0,2019-11-09T00:00:00-05:00,40.435277,-75.381945,56.0,28.6,39.3,6.9,9.9,0.0,57.87,Clear,8.3
0,2019-11-09T00:00:00-05:00,33.226945,-84.275,57.0,40.6,53.7,6.9,9.9,0.0,76.49,Clear,0.0
0,2019-11-08T00:00:00-06:00,32.353611,-95.403056,58.0,46.7,53.9,13.9,9.9,0.0,65.27,Partially cloudy,32.5
0,2019-11-07T00:00:00-08:00,34.109722,-117.669723,59.0,67.2,82.6,11.5,7.4,0.0,46.84,Clear,2.0
0,2019-11-07T00:00:00-05:00,28.405833,-81.837777,60.0,77.2,87.4,8.6,8.6,0.0,83.1,Partially cloudy,48.3
0,2019-11-06T00:00:00-07:00,39.908889,-105.117223,61.0,35.3,49.0,16.1,6.8,0.0,81.84,Partially cloudy,47.4
0,2019-11-06T00:00:00-05:00,39.476667,-84.093889,62.0,43.6,54.1,13.9,9.6,0.05,66.43,"Rain, Partially cloudy",56.0
0,2019-11-04T00:00:00-07:00,37.14027700000001,-113.30611100000002,63.0,53.1,70.1,4.7,9.9,0.0,15.05,Clear,0.0
0,2019-11-04T00:00:00-05:00,40.041666,-76.201944,64.0,44.6,57.8,16.1,9.4,0.0,61.74,Clear,0.0
0,2019-11-04T00:00:00-05:00,41.621111,-70.938333,65.0,41.4,52.6,9.5,9.9,0.0,63.34,Clear,6.2
0,2019-11-03T00:00:00-04:00,35.034166,-82.298889,66.0,48.4,59.5,6.9,9.9,0.0,53.57,Clear,0.0
0,2019-11-03T00:00:00-04:00,25.796944,-80.341111,67.0,79.0,83.9,10.3,9.9,0.23,75.79,"Rain, Partially cloudy",74.4
0,2019-11-02T00:00:00-04:00,33.884166,-81.38166700000002,68.0,49.0,64.0,9.0,9.6,0.0,70.96,Clear,11.1
0,2019-11-02T00:00:00-04:00,40.286666,-76.576945,69.0,38.0,49.5,8.1,9.9,0.0,72.33,Clear,0.0
0,2019-11-01T00:00:00-05:00,32.026111,-102.404722,70.0,52.5,74.3,23.0,9.9,0.0,25.08,Clear,0.0
0,2019-11-01T00:00:00-04:00,27.176111,-80.2125,71.0,78.1,83.0,11.4,8.8,0.0,82.22,Partially cloudy,53.2
0,2019-11-01T00:00:00-04:00,42.234444,-85.55166700000002,72.0,36.6,42.2,17.2,9.7,0.0,65.81,Overcast,75.7
0,2019-10-31T00:00:00-07:00,32.988055,-115.469167,73.0,53.2,71.5,8.1,9.9,0.0,18.82,Clear,0.0
0,2019-10-31T00:00:00-05:00,29.705833,-98.043333,74.0,44.0,56.0,23.0,9.9,0.0,50.7,Clear,0.0
0,2019-10-31T00:00:00-05:00,37.103333,-88.817223,75.0,36.6,45.9,18.9,9.0,0.59,78.81,"Rain, Partially cloudy",66.8
0,2019-10-31T00:00:00-04:00,29.141666,-82.19416600000002,76.0,78.9,88.1,17.2,9.8,0.0,87.0,Clear,17.8
0,2019-10-31T00:00:00-10:00,21.327223,-157.905833,77.0,79.0,84.2,11.1,9.9,0.0,70.82,Partially cloudy,31.0
0,2019-10-31T00:00:00-10:00,21.327223,-157.905833,78.0,79.0,84.2,11.1,9.9,0.0,70.82,Partially cloudy,31.0
0,2019-10-30T00:00:00-04:00,33.856944,-84.290555,79.0,67.2,71.0,9.2,5.0,1.2,99.03,"Rain, Overcast",100.0
0,2019-10-29T00:00:00-06:00,35.145277,-106.795277,80.0,41.9,64.5,19.7,9.9,0.0,31.88,Clear,14.7
0,2019-10-29T00:00:00-04:00,40.590277,-74.310833,81.0,57.4,60.0,8.8,5.0,0.15,92.6,Rain,18.5
0,2019-10-29T00:00:00-06:00,43.5,-116.3,82.0,27.5,34.2,21.0,9.6,0.0,43.39,Clear,12.6
