,Make,Model
0,Cessna,175
1,Mooney,M20S
2,Cessna,170
5,Piper,PA 31T
6,Bell,407
9,Cosmos,Phase II
10,Piper,PA28
12,Robinson,R22
13,Piper,PA22
14,Cessna,172
17,Beech,300
20,HEAD,AX8 88B
21,Cessna,182
22,Piper,PA-34-200T
23,Cessna,208
25,Mooney,M20C
30,Luscombe,8A
31,JAVRON,PA-18 Replica
32,Cessna,172
33,Bae,BAE 125 SERIES 800A
34,Piper,PA28
35,Cirrus,SR22
36,Piper,PA24
37,Yakovlev,YAK 52
38,Pilatus,PC12
40,Piper,PA-31-350
42,CIRRUS,SR-22
45,Beech,V35
47,Piper,PA28
48,Czech Aircraft Works Spol Sro,Sportscruiser
49,Beech,E35
50,Bellanca,1730
51,Grumman,AA5
52,Cirrus,SR22
53,RAYTHEON,A36
54,Luscombe,8
55,Mooney,M20M
56,Piper,PA28R
59,Cessna,172
60,Stinson,SR9
61,Piper,PA32
62,Piper,PA 18
63,North American,SNJ-4
64,Cessna,152
65,Agusta,A109
70,Cessna,150
71,Agusta,A109
72,Cessna,172
76,SYMPHONY AIRCRAFT IND INC,SA
77,Cessna,182
78,Cessna,195
79,Cessna,U206
80,Sikorsky,S 58JT
81,Mooney,M20J
82,Piper,PA32R
83,Beech,55
84,Piper,PA28
86,Beech,55
89,Cessna,180
91,Cirrus,SR22
92,Bell,47G
94,Cessna,182
95,Schleicher,ASW15
97,Beech,36
98,Robinson,R22
99,Cessna,150
101,Ercoupe,415
103,Beech,76
105,American Aviation,AA 5
106,Cub Crafters,CC11
110,Cessna,T210
111,GRUMMAN,OV-1
112,SOCATA,TB 30 EPSILON
113,Cessna,150
114,Beech,200
115,Piper,PA32R
117,Beech,58
119,Cessna,172
120,Cessna,208
121,Piper,PA28R
122,Cessna,170
124,Cessna,414
125,De Havilland,DHC8
126,Cessna,172
127,Robinson,R66
128,HIGGINS JOHN H/WILLIAMS JOHN D,QUESTAIR VENTURE
129,Let,L13
130,Beech,36
131,Piper,J3C
132,Piper,PA22
135,Enstrom,280F
136,Mooney,M20J
137,Piper,PA 30
138,Cessna,205
140,COSTRUZIONI AERONAUTICHE TECNA,P2004
141,Mooney,M20A
142,Cessna,172
144,Robinson,R44
147,Robinson,R22
148,ROBINSON,R22 Beta
149,Czech Sport Aircraft,Sportcruiser
150,Air Tractor,AT 502
154,Maule,MX7
155,Piper,PA 24
158,Piper,PA28
159,Piper,PA32
162,Ultramagic,N 250
166,Bell,47G
168,Beech,N35
169,SPORTINE AVIACIJA,LAK17
170,Cessna,206
171,Cessna,L19
172,Robinson,R22
173,Weatherly,620
174,Flight Design,CTLS
175,Ercoupe,415
176,Bell,206
178,Kitty Hawk,Heaviside2
179,Aeronca,7AC
180,Piper,PA18
184,Cessna,180
185,Luscombe,8
186,Cessna,172
187,Piper,PA38
190,AEROPRO CZ,A220
191,Beech,36
192,SOCATA,TBM700
193,Vans,RV4
194,Hiller,UH 12E
195,Taylorcraft,BC12
196,Piper,PA-28R-200
197,Cessna,172
200,Cessna,180
201,Champion,8GCBC
204,ZENITH,ZENITH 601XLB
206,WINGTIP TO WINGTIP LLC,PANZL S-330
207,Ayres,S2R
208,ANTARES,MA33
210,Piper,PA28
211,Aeronca,7AC
212,Piper,PA18
213,Beech,19
215,Cessna,172
217,Beech,36
218,Aerostar International,RX 7
219,Cessna,150
220,De Havilland,BEAVER DHC 2
221,Raytheon,HAWKER
222,HONDA AIRCRAFT,HA-420
225,Glaser Dirks,DG500
226,BEECH,B36
229,Buckeye,BREEZE
231,Reed Mike,SMITHS SUPER CUB
232,Champion,7ECA
234,Piper,AEROSTAR 602P
235,Cessna,172
237,Piper,PA46
238,PIPER,PA28
240,Bell,OH 58A
241,Socata,TBM 700
242,ROBINSON,R44
243,Boeing,B17
244,Taylorcraft,BC12
245,Beech,55
246,Cessna,421
247,Pitts,S2
248,Robinson,R44
250,Enstrom,F28
251,Piper,PA28
252,Piper,PA 12
253,Diamond,DA 40
254,Piper,PA 22
255,Air Tractor,AT802
256,American Aviation,AA5
258,Piper,J3C
259,Cessna,172
260,Beech,36
261,Cessna,152
262,Cirrus,SR22
264,Stinson,108
265,Cessna,182
266,Cessna,337
267,Cessna,172
270,Cessna,172
271,Piper,PA18
273,Piper,PA18
274,THOMAS LEE,Nuiport
276,Cessna,150
277,De Havilland,BEAVER DHC 2
278,Piper,PA 18
281,Cessna,A185
283,Diamond,DA20
284,De Havilland,BEAVER DHC 2 MK.1
285,Piper,PA60
286,Cessna,208
288,Cessna,182
289,Cessna,177
290,Cessna,152
293,Beech,V35TC
295,Cessna,152
296,Maule,M 6-235
297,Socata,TB9
298,Robinson,R44
300,Piper,PA32R
301,Pzl Okecie,PZL104
304,CESSNA,175
305,Piper,PA 12
306,Cessna,L19
308,DIAMOND,DA40
309,Piper,PA46
311,Mooney,M20M
312,Cirrus,SR20
313,Piper,PA28
316,Cirrus,SR22
318,Kubicek,BB60
319,Cessna,172F
320,Cessna,150
321,Cessna,172
322,Piper,PA23
323,Mooney,M20J
324,Bell,206
325,Infinity Power Parachutes,IPP2
326,Sikorsky,S58
328,Cessna,152
329,Beech,35
330,Convair,440
331,Piper,PA28
332,Piper,PA34
333,Piper,PA28
334,Ercoupe,415
335,Beech,23
336,Cessna,172
339,Beech,23
340,Bell,206
341,Cessna,150
342,Piper,PA32
343,Beech,35
345,Cessna,210
347,Cessna,140
348,Beech,C24
349,Air Tractor,AT 602
350,Cessna,172
351,SIAI-MARCHETTI,SM 1019
352,Champion,7KCAB
354,Champion,7GCBC
355,Piper,PA18
356,Robinson,R44
358,Cessna,195A
359,PIPER,PA-28D-180
362,Cessna,310
364,Piper,PA18
365,Cessna,210
366,Cessna,180
367,Piper,J3C
369,Cessna,182
370,Phantom Aeronautics,X-1
371,Jackson,Velocity
372,Lake,LA-4-200
373,Piper,PA28
374,Cessna,A185
375,Piper,PA32RT
376,Weatherly,620
377,Piper,PA60
378,LANCAIR,LC41-550FG
379,Cessna,172
380,Piper,J3C
381,Piper,PA38
384,PIPER,PA 28-180
385,Stinson,108
386,PIPER,PA18
387,Cirrus,SR22
388,Hughes,369
389,Cessna,510
391,Diamond,DA20
392,Piper,PA28
394,Luscombe,8
396,Piper,PA-18
398,Beech,33
400,AIR TRACTOR,AT502
401,Piper,PA-22-150
405,Cessna,172
406,Bell,206
408,Piper,PA18
411,Mooney,M20C
412,Hughes,269A
415,Lockheed,C130
416,SCODA AERONAUTICAL,Super Petrel
417,Glaser Dirks,DG 300 ELAN
419,PIPER,PA28
423,Cirrus,SR22
424,PIPER,J3C
425,Cessna,425
426,Piper,PA24
427,AMERICAN LEGEND AIRCRAFT CO,AL3C
428,DG Flugzeugbau,DG-500MB
434,Beech,F33
439,PIPER,PA28
440,Maule,M5
441,Grob,G103
443,Cirrus,SR22
446,Cessna,120
447,Cessna,560XL
448,Cessna,310
450,STINSON,108
451,Beech,36
452,Cessna,T210
455,Piper,PA 31P
456,Bell,47G
457,Aero Commander,200
458,Grumman,G164
459,Piper,PA28R
461,Cessna,TU206
462,Cirrus,SR22
463,SHIRLEY CARL,SPORTCOPTER VORTEX
464,Champion,7GCBC
465,Beech,95B55
466,Cessna,U206
467,Cessna,208B
468,Beech,35
469,Cessna,172
470,Cessna,172
472,Cessna,T303
474,Air Tractor,AT502
475,Flight Design,CT2K
476,Bell,206
477,Pitts,S2
480,Textron Aviation Inc,680A
483,Cessna,150
484,De Havilland,DHC6
486,Extra,EA300
488,Rockwell,690
489,Fantasy Air,ALLEGRO
491,Cessna,172
492,Piper,PA28
493,Cessna,180
496,Schweizer,269C
498,Cessna,172
499,North American,AT 6D
500,CONSOLIDATED VULTEE,BT13
501,Cessna,180
505,Cessna,206
506,North American,T28A
508,Cessna,172
509,Cessna,150
510,Piper,PA 30
511,Cessna,152
513,Beech,F33
515,Cessna,R172
516,Air Tractor,AT502
518,Diamond,DA20
525,Cessna,182
529,Piper,PA28
530,Cessna,182
531,Cessna,172
532,Cessna,172
533,Schleicher,ASW 24
534,Air Tractor,AT502
535,Cessna,310
536,Piper,PA22-150
537,PIPER,PA28
538,ROBINSON HELICOPTER COMPANY,R44 II
539,Cessna,A185
540,PIPER,PA28
542,Robinson,R66
545,Cessna,P210
548,Piper,PA 12
549,DOUGLAS,C 118A
550,Douglas,DC3C
551,Robinson,R44
554,Cirrus,SR22
555,PIPER,PA28
556,Cessna,177
557,Cessna,172
558,Cessna,210
560,Piper,PA28
561,Cessna,E162
564,Cessna,172
565,Beech,36
567,Cessna,172
568,Md Helicopter,369
569,Piper,PA18
570,Schleicher,ASW 27
573,Bell,206
574,Piper,PA46
576,Ryan,NAVION
577,SWEARINGEN,SA227
578,ICON,A5
579,Robinson,R44
580,Cessna,177RG
581,Schempp Hirth,VENTUS 2A
585,Cessna,152
586,AERO COMMANDER,S2R
588,Culver,LCA
590,Hughes,269A
591,Cessna,T188
592,Air Tractor,AT 502
594,Cirrus,SR22
596,Beech,95B55
597,North American,AT 6F
599,Cessna,182
601,Cessna,172
603,Cessna,172
606,Cessna,172
607,Cessna,402
608,Cessna,172
610,Cessna,402
611,Cessna,152
612,Ayres,S2R
613,Robinson,R44
614,Cessna,305A
617,Cessna,R182
621,VALLDEJULI JOHN A,AEROCOMP
624,Piper,PA19
625,Cessna,550
626,Cessna,210 5(205)
627,ROCKWELL,112A
628,Cessna,170
629,Cessna,172
630,Beech,95B55
632,Piper,PA46
633,De Havilland,BEAVER DHC 2 MK.1
639,Aviat,A1
640,Cessna,A185
644,AEROS LTD,SKYRANGER
645,Cessna,172
646,Cessna,182
650,Cessna,172RG
652,Robinson,R44
654,Cessna,170
658,Cessna,P206
660,Biuro Projektowe B Bogumil Ber,SZD-56-2
661,Cessna,172
662,Piper,J3C
663,Piper,PA22
664,Cessna,T188
665,Piper,PA18
668,BELL,47G 3B 1
670,Diamond,DA 40
671,Cessna,120
674,Stinson,108
675,Cessna,172
677,Cessna,525
678,Piper,PA 20
683,Cessna,182
684,Cessna,180
686,Icon,A-5
688,Piper,PA 24-180
690,Diamond,DA 42 NG
691,Piper,PA28
692,Cessna,172
693,Cessna,R182
695,Piper,PA34
697,Beech,19
